time_ms,x,y,theta
917375,-0.016,0.000,-0.0021
917396,-0.000,-0.000,-0.0042
917467,0.048,-0.000,-0.0021
917495,0.064,-0.000,0.0000
917516,0.097,-0.000,-0.0042
917555,0.129,-0.000,-0.0042
917575,0.145,-0.000,-0.0021
917595,0.161,-0.001,-0.0042
917615,0.161,-0.001,-0.0042
917636,0.161,-0.001,-0.0042
917675,0.161,-0.001,-0.0042
917695,0.161,-0.001,-0.0042
917762,0.258,-0.001,-0.0042
917795,0.290,-0.001,-0.0042
917815,0.306,-0.001,-0.0062
917835,0.338,-0.001,-0.0062
917855,0.371,-0.002,-0.0062
917875,0.403,-0.002,-0.0062
917933,0.467,-0.002,-0.0104
918029,0.516,-0.003,-0.0125
918074,0.612,-0.003,0.0000
918118,0.709,-0.003,0.0125
918175,0.725,-0.003,0.0104
918221,0.822,-0.002,0.0062
918269,0.918,-0.001,0.0021
918316,1.176,0.000,0.0104
918360,1.192,0.000,0.0042
918404,1.208,0.000,-0.0021
918455,1.321,0.001,0.0125
918503,1.466,0.002,0.0021
918553,1.595,0.002,-0.0062
918597,1.643,0.001,-0.0042
918643,1.820,0.002,0.0104
918703,1.853,0.002,0.0062
918810,2.336,0.005,0.0062
918853,2.578,0.011,0.0374
918896,2.529,0.009,0.0312
918939,2.562,0.010,0.0353
918987,2.739,0.018,0.0582
919036,2.787,0.021,0.0603
919084,2.835,0.024,0.0624
919136,3.044,0.040,0.0894
919185,3.172,0.050,0.0728
919234,3.253,0.056,0.0790
919282,3.381,0.067,0.0915
919335,3.429,0.072,0.0935
919383,3.477,0.076,0.0915
919433,3.574,0.085,0.0956
919484,3.670,0.095,0.0998
919595,3.846,0.115,0.1226
919643,3.846,0.115,0.1185
919692,3.910,0.122,0.1226
919741,4.006,0.134,0.1226
919797,4.022,0.136,0.1206
919849,4.118,0.148,0.1247
919895,4.230,0.162,0.1268
919945,4.389,0.183,0.1351
919993,4.469,0.194,0.1289
920038,4.485,0.196,0.1310
920095,4.485,0.196,0.1310
920148,4.725,0.228,0.1330
920200,4.900,0.252,0.1434
920247,5.060,0.276,0.1518
920315,5.060,0.276,0.1518
920426,5.473,0.341,0.1601
920474,5.759,0.390,0.1850
920525,5.822,0.402,0.1809
920579,5.822,0.402,0.1809
920628,5.822,0.402,0.1809
920679,5.822,0.402,0.1809
920727,5.822,0.402,0.1809
920801,5.822,0.402,0.1809
920851,5.822,0.402,0.1809
920897,5.822,0.402,0.1809
920957,5.822,0.402,0.1809
921013,5.822,0.402,0.1809
921062,5.822,0.402,0.1809
921120,5.822,0.402,0.1809
921177,5.822,0.402,0.1809
921288,5.822,0.402,0.1809
921355,5.822,0.402,0.1809
921410,5.822,0.402,0.1809
921461,5.822,0.402,0.1809
921519,5.822,0.402,0.1809
921576,5.822,0.402,0.1809
921630,5.822,0.402,0.1809
921682,6.302,0.464,0.0769
921737,6.559,0.465,-0.0686
921788,6.814,0.429,-0.2141
921841,7.165,0.273,-0.6257
921893,7.258,0.184,-0.8960
921943,7.324,0.074,-1.1662
922000,6.789,1.993,-1.4323
922057,6.784,1.816,-1.7670
922168,7.108,2.529,-2.2264
922235,7.078,2.491,-2.2576
922291,6.892,2.338,-2.6463
922341,6.968,2.364,-2.9935
922397,9.199,2.353,-3.2991
922453,9.003,2.422,-3.6629
922504,8.744,2.638,-4.0100
922576,9.325,1.827,-4.1722
922637,9.175,2.266,-4.5942
922695,9.218,2.727,-5.0162
922749,9.798,3.519,-5.6731
922804,9.279,3.310,-6.1283
922859,8.754,3.351,-6.5919
922917,8.302,3.622,-7.0555
922979,8.719,2.721,-7.7851
923093,8.426,1.756,-8.5127
923153,5.450,0.027,-9.2839
923214,2.111,0.861,-10.0552
923274,3.892,-0.964,-10.3899
923328,4.974,-3.273,-10.7245
923396,5.223,-5.264,-11.0177
923452,5.273,-5.045,-11.4168
923508,5.403,-4.863,-11.8159
923575,3.338,-6.216,-12.1568
923638,3.589,-6.167,-12.5892
923696,3.837,-6.228,-13.0216
923758,4.352,-6.781,-13.7534
923817,4.565,-8.837,-14.3146
923871,4.032,-10.315,-14.6514
923927,2.911,-11.740,-14.9570
924043,2.456,-12.126,-15.0505
924103,2.508,-12.087,-15.0589
924175,2.508,-12.087,-15.0589
924234,2.508,-12.087,-15.0589
924290,2.508,-12.087,-15.0589
924347,2.508,-12.087,-15.0589
924406,2.508,-12.087,-15.0589
924469,2.508,-12.087,-15.0589
924529,2.508,-12.087,-15.0589
924588,2.508,-12.087,-15.0589
924650,2.508,-12.087,-15.0589
924712,2.508,-12.087,-15.0589
924769,2.508,-12.087,-15.0589
924830,2.508,-12.087,-15.0589
924889,2.508,-12.087,-15.0589
925009,2.508,-12.087,-15.0589
925068,2.365,-12.192,-15.0817
925130,2.181,-12.322,-15.1108
925189,2.046,-12.411,-15.1316
925251,1.333,-12.909,-15.0651
925314,1.034,-13.128,-15.0880
925373,0.743,-13.330,-15.1129
925433,0.329,-13.609,-15.1191
925492,-0.048,-13.857,-15.1316
925555,-0.414,-14.091,-15.1462
925660,-0.944,-14.429,-15.1358
925715,-0.944,-14.429,-15.1358
925769,-1.229,-14.612,-15.1379
925805,-1.514,-14.794,-15.1399
925848,-2.229,-15.260,-15.1212
925949,-2.636,-15.550,-15.0568
925992,-2.727,-15.617,-15.0755
926036,-2.934,-15.770,-15.0755
926082,-3.270,-16.021,-15.0547
926135,-3.295,-16.040,-15.0547
926181,-3.883,-16.492,-15.0505
926219,-4.469,-16.946,-15.0464
926275,-4.469,-16.946,-15.0464
926320,-4.722,-17.145,-15.0422
926357,-4.976,-17.344,-15.0381
926415,-5.001,-17.364,-15.0422
926464,-5.566,-17.818,-15.0194
926517,-6.082,-18.256,-14.9903
926560,-6.422,-18.553,-14.9903
926616,-6.422,-18.553,-14.9903
926717,-7.174,-19.234,-14.9549
926759,-7.544,-19.569,-14.9861
926815,-7.556,-19.580,-14.9840
926868,-7.942,-19.922,-14.9799
926916,-8.301,-20.245,-14.9715
926961,-8.795,-20.708,-14.9383
927015,-8.795,-20.708,-14.9383
927064,-9.014,-20.922,-14.9279
927111,-9.367,-21.275,-14.9217
927154,-9.696,-21.607,-14.9113
927199,-10.075,-22.003,-14.8905
927248,-10.365,-22.305,-14.9154
927300,-10.478,-22.420,-14.9071
927345,-10.589,-22.536,-14.8988
927399,-10.923,-22.908,-14.8385
927508,-11.566,-23.585,-14.9549
927554,-11.684,-23.694,-14.9715
927597,-12.140,-24.126,-14.9279
927643,-12.290,-24.273,-14.9383
927716,-12.336,-24.317,-14.9341
927777,-12.873,-24.852,-14.9154
927821,-13.399,-25.396,-14.8967
927876,-13.487,-25.490,-14.8801
927931,-13.695,-25.715,-14.8822
927987,-13.989,-26.036,-14.8759
928039,-14.280,-26.359,-14.8655
928083,-14.568,-26.685,-14.8551
928139,-14.854,-27.033,-14.7969
928187,-14.964,-27.172,-14.8156
928236,-15.077,-27.309,-14.8343
928350,-15.899,-28.443,-14.6951
928400,-16.381,-29.167,-14.7533
928443,-16.877,-29.822,-14.8177
928499,-16.769,-29.681,-14.7657
928547,-16.854,-29.799,-14.7637
928601,-17.103,-30.136,-14.7803
928658,-17.261,-30.340,-14.8136
928709,-17.471,-30.605,-14.8032
928761,-17.689,-30.884,-14.7948
928817,-17.829,-31.061,-14.8198
928870,-18.062,-31.349,-14.8177
928921,-18.295,-31.637,-14.8156
928977,-18.439,-31.811,-14.8406
929028,-18.719,-32.144,-14.8302
929083,-18.942,-32.419,-14.8094
929196,-19.002,-32.495,-14.8011
929247,-19.061,-32.571,-14.7928
929298,-19.061,-32.571,-14.7928
929349,-19.061,-32.571,-14.7928
929402,-19.061,-32.571,-14.7928
929454,-19.061,-32.571,-14.7928
929504,-19.061,-32.571,-14.7928
929558,-19.061,-32.571,-14.7928
929611,-19.061,-32.571,-14.7928
929670,-19.061,-32.571,-14.7928
929721,-19.061,-32.571,-14.7928
929783,-19.061,-32.571,-14.7928
929836,-19.061,-32.571,-14.7928
929889,-19.061,-32.571,-14.7928
929948,-19.061,-32.571,-14.7928
930067,-19.061,-32.571,-14.7928
930120,-19.061,-32.571,-14.7928
930172,-19.061,-32.571,-14.7928
930226,-19.061,-32.571,-14.7928
